 JUMLAH PENDUDUK MENURUT BIDANG PEKERJAAN UTAMA,,,,,,,,,,,,
TAHUN 2015 (USIA 15 TAHUN KE ATAS),,,,,,,,,,,,
No.,D E S A,PERT. TAN. PANGAN,PERKE- BUNAN,PER- IKANAN,PETER- NAKAN,PER- TANIAN LAINNYA,INDUS- TRI,PERDA- GANGAN,JASA,ANGKUTAN,LAINNYA,JUMLAH
1,SILURAH,252,370,0,22,65,99,98,80,5,62,692
2,SODONG,238,217,0,45,100,253,33,87,14,43,725
3,GRINGGINGSARI,635,238,2,0,17,27,41,23,9,41,925
4,KEDUNGMALANG,482,80,4,6,35,25,215,121,15,50,706
5,SENDANG,"1,203",44,6,0,49,99,47,47,23,58,378
6,WONOTUNGGAL,"1,258",50,14,40,61,198,260,65,34,99,458
7,BROKOH,333,12,0,0,12,152,217,19,11,121,"9,957"
8,WATES,601,12,0,9,33,144,51,44,22,60,177
9,BRAYO,332,0,0,10,29,17,41,17,11,18,87
10,KEMLIGI,308,0,0,18,33,54,41,65,8,24,138
11,SIGAYAM,379,15,0,29,24,77,98,36,7,36,177
12,KREYO,477,0,1,12,58,112,63,66,8,41,178
13,SIWATU,749,4,6,15,37,110,110,95,25,69,299
14,DRINGO,255,6,3,14,27,44,77,20,27,37,161
15,PENANGKAN,176,2,1,4,20,67,63,27,11,49,150
,,,,,,,,,,,,
,JUMLAH,"7,678","1,050",37,224,600,"1,478","1,455",812,230,808,"15,208"
